model,model_year,engine_hp,engine_cylinders,driven_wheels,number_of_doors,highway_mpg,city_mpg,popularity,msrp,maker_name,type_name,transmission_type_name,vehicle_size_name,vehicle_style_name,cost_per_unit,units_sold,profit_per_unit
Gallardo,2013,550.0,10.0,0,2.0,20,12,1158,191900,25,0,1,0,1,154107.32,601,37792.68
GTI,2012,200.0,4.0,1,4.0,33,24,873,25695,4,2,2,0,7,23700.28,887503,1994.72
Forenza,2006,126.0,4.0,1,4.0,28,20,481,15099,23,1,1,0,2,13591.84,703059,1507.16
Integra,2001,140.0,4.0,1,4.0,28,21,204,21000,28,1,0,0,2,19294.4,911473,1705.6
Pathfinder,2015,260.0,6.0,1,4.0,27,20,2009,32810,0,1,0,1,11,30220.18,798841,2589.82
R8,2014,550.0,10.0,3,2.0,22,13,3105,179645,9,0,2,0,1,135813.38,295,43831.62
Rendezvous,2006,195.0,6.0,1,4.0,23,17,155,24280,34,1,0,2,11,21705.99,797567,2574.01
Sierra 1500,2017,285.0,6.0,2,4.0,22,17,549,36210,14,3,0,1,4,33667.39,906017,2542.61
Silverado 1500,2017,285.0,6.0,0,4.0,24,18,1385,37835,5,3,0,1,9,34409.38,791545,3425.62
S-Class,2017,577.0,8.0,3,2.0,22,14,617,176400,18,0,0,1,0,123918.53,583,52481.47
Maybach,2016,523.0,12.0,0,4.0,20,13,617,189350,18,0,0,1,2,132423.53,423,56926.47
G5,2008,171.0,4.0,1,2.0,32,22,210,19850,29,1,1,0,1,18212.78,695198,1637.22
GL-Class,2015,240.0,6.0,3,4.0,26,19,617,63600,18,4,0,1,11,52187.12,72059,11412.88
Impreza WRX,2014,305.0,4.0,3,4.0,23,17,640,36495,17,0,1,0,7,33423.63,752595,3071.37
Mirage G4,2017,78.0,3.0,1,4.0,40,33,436,13995,11,1,1,0,2,13006.22,703909,988.78
MKC,2016,240.0,4.0,3,4.0,26,19,61,39585,30,1,0,0,11,36072.04,708425,3512.96
Panamera,2016,570.0,8.0,3,4.0,24,15,1715,180300,12,0,2,1,2,143646.39,325,36653.61
GT-R,2015,545.0,6.0,3,2.0,23,16,2009,111510,0,2,2,2,1,82610.38,493,28899.62
GTI,2012,200.0,4.0,1,2.0,33,24,873,25095,4,2,2,0,5,22240.57,807644,2854.43
Jetta GLI,2014,210.0,4.0,1,4.0,32,24,873,27925,4,2,2,2,2,25219.95,701658,2705.05
Jetta,2016,170.0,4.0,1,4.0,36,25,873,23650,4,1,0,2,2,21284.31,852596,2365.69
Jetta,2017,150.0,4.0,1,4.0,40,28,873,17895,4,1,1,2,2,15774.27,880974,2120.73
Matrix,2013,132.0,4.0,1,4.0,32,25,2031,20115,13,1,0,0,7,17878.07,896317,2236.93
Nitro,2009,210.0,6.0,2,4.0,21,15,1851,26220,7,1,0,2,11,23299.95,889968,2920.05
HHR,2010,155.0,4.0,1,4.0,32,22,1385,19720,5,3,1,0,12,17502.61,705308,2217.39
Lancer Sportback,2012,148.0,4.0,1,4.0,32,24,436,18395,11,1,0,0,7,16870.97,711090,1524.03
Lancer,2016,148.0,4.0,1,4.0,34,24,436,17595,11,1,1,0,2,16329.09,873627,1265.91
MX-6,1996,164.0,6.0,1,2.0,24,18,586,2000,2,1,1,0,1,1841.88,732442,158.12
Justy,1993,73.0,3.0,1,2.0,33,28,640,2000,17,1,1,0,5,1833.74,880811,166.26
RX-8,2010,212.0,,0,4.0,23,16,586,26645,2,0,0,0,1,23762.04,729162,2882.96
Sienna,2016,266.0,6.0,1,4.0,25,18,2031,31640,13,1,0,1,8,27992.1,833311,3647.9
Silverado 1500 Classic,2007,295.0,8.0,0,4.0,19,14,1385,25915,5,3,0,1,4,22995.8,896959,2919.2
Fusion Hybrid,2017,188.0,4.0,1,4.0,41,43,5657,31010,8,1,0,2,2,28721.89,845264,2288.11
Prius c,2016,99.0,4.0,1,4.0,46,53,2031,19560,13,1,0,0,7,17336.89,712696,2223.11
Ramcharger,1992,230.0,8.0,2,2.0,14,11,1851,2000,7,1,1,2,13,1760.11,848109,239.89
Impreza WRX,2014,265.0,4.0,3,4.0,25,19,640,25995,17,0,1,0,2,23206.9,789373,2788.1
M,2012,420.0,8.0,3,4.0,23,16,190,61700,35,0,0,1,2,49158.02,37844,12541.98
Pilot,2016,280.0,6.0,1,4.0,27,20,2202,41170,3,1,0,2,11,34870.27,496103,6299.73
Ram Pickup 1500,2009,310.0,8.0,2,2.0,18,13,1851,29585,7,3,0,1,3,27357.2,752983,2227.8
Ram Van,2000,175.0,6.0,0,3.0,16,13,1851,2237,7,1,0,2,14,1970.44,846575,266.56
S-15 Jimmy,1991,150.0,6.0,2,2.0,18,14,549,2000,14,1,1,0,13,1850.52,813491,149.48
Safari Cargo,2005,190.0,6.0,0,3.0,20,15,549,22930,14,1,0,1,10,20410.13,837475,2519.87
Sierra 1500 Classic,2007,295.0,8.0,0,4.0,19,14,549,28915,14,1,0,1,4,26725.93,755821,2189.07
Sierra 1500 Classic,2007,295.0,8.0,0,4.0,19,14,549,26245,14,3,0,1,4,24126.26,895455,2118.74
Sorento,2017,290.0,6.0,3,4.0,23,17,1720,40400,27,1,0,2,11,35248.26,508896,5151.74
Grand Prix,2006,200.0,6.0,1,4.0,28,18,210,21330,29,1,0,2,2,19238.53,833447,2091.47
Grand Vitara,2012,166.0,4.0,0,4.0,25,19,481,22299,23,1,0,0,11,19790.7,841905,2508.3
GTI,2013,200.0,4.0,1,4.0,31,21,873,30995,4,2,1,0,7,28410.49,843967,2584.51
Neon,1999,150.0,4.0,1,2.0,36,24,535,2000,33,1,1,0,1,1764.03,887861,235.97
Fusion,2015,231.0,4.0,3,4.0,31,22,5657,27830,8,1,0,2,2,25440.21,798467,2389.79
Prius,2017,121.0,4.0,1,4.0,50,54,2031,24685,13,1,0,0,7,22328.59,898083,2356.41
Prius,2017,121.0,4.0,1,4.0,53,58,2031,25165,13,1,0,0,7,22263.12,784139,2901.88
Impreza,2015,148.0,4.0,3,4.0,37,28,640,20995,17,1,0,0,2,18572.24,816003,2422.76
Impreza,2016,148.0,4.0,3,4.0,37,28,640,19295,17,1,0,0,2,17361.66,793617,1933.34
Impreza,2016,148.0,4.0,3,4.0,34,25,640,18795,17,1,1,0,7,16546.71,710244,2248.29
QX60,2015,265.0,6.0,1,4.0,27,21,190,42400,35,2,0,1,11,35256.15,451608,7143.85
Ram Pickup 1500,2009,310.0,8.0,2,4.0,18,13,1851,35100,7,3,0,1,9,31902.37,818413,3197.63
S-10,2003,120.0,4.0,0,2.0,25,19,1385,16905,5,3,1,0,3,15381.34,905418,1523.66
S-15 Jimmy,1990,160.0,6.0,2,2.0,18,15,549,2000,14,1,1,0,13,1771.44,885230,228.56
Kizashi,2012,180.0,4.0,1,4.0,30,23,481,26199,23,1,0,2,2,23887.5,914864,2311.5
Kizashi,2013,180.0,4.0,1,4.0,30,23,481,21749,23,1,0,2,2,20081.6,863362,1667.4
Ram Pickup 1500,2008,310.0,8.0,0,2.0,17,13,1851,25720,7,1,1,1,3,23077.56,890812,2642.44
Ram Pickup 1500,2008,310.0,8.0,0,4.0,18,13,1851,31445,7,3,0,1,9,29083.35,891710,2361.65
Outlander Sport,2016,168.0,4.0,1,4.0,28,23,436,22495,11,1,0,0,11,20209.79,809028,2285.21
Outlander Sport,2016,148.0,4.0,1,4.0,29,23,436,19595,11,1,1,0,11,17874.18,703229,1720.82
M-Class,2014,240.0,6.0,3,4.0,28,20,617,51790,18,4,0,2,11,42991.78,511306,8798.22
M30,1992,162.0,6.0,0,2.0,23,17,190,2000,35,1,0,2,0,1825.6,898553,174.4
MP4-12C,2013,616.0,8.0,0,2.0,22,15,416,239400,41,0,2,0,1,187022.73,495,52377.27
Passat,2016,170.0,4.0,1,4.0,38,25,873,28410,4,1,0,2,2,25096.09,716245,3313.91
E-Series Van,2012,255.0,8.0,0,3.0,16,12,5657,30560,8,3,0,2,14,27638.39,697300,2921.61
Justy,1992,73.0,3.0,1,2.0,33,28,640,2000,17,1,1,0,5,1783.99,880392,216.01
Frontier,2016,261.0,6.0,0,4.0,22,16,2009,23940,0,1,0,0,4,21781.31,836818,2158.69
Frontier,2016,152.0,4.0,0,4.0,23,19,2009,22180,0,1,1,0,4,19631.15,764397,2548.85
Galant,2012,160.0,4.0,1,4.0,30,21,436,21899,11,1,0,2,2,20050.7,887100,1848.3
Grand Caravan,2016,283.0,6.0,1,4.0,25,17,1851,22595,7,3,0,2,8,20839.16,724787,1755.84
GTI,2012,200.0,4.0,1,4.0,31,21,873,26875,4,2,1,0,7,23710.42,771918,3164.58
GTI,2013,200.0,4.0,1,2.0,31,21,873,24200,4,2,1,0,5,21453.74,699587,2746.26
F-250,1999,220.0,8.0,0,2.0,17,13,5657,3251,8,1,1,1,3,2952.21,776161,298.79
Outback,2016,175.0,4.0,3,4.0,33,25,640,27695,17,1,0,2,11,25151.72,836775,2543.28
Intrigue,2000,215.0,6.0,1,4.0,26,17,26,2290,26,1,0,2,2,2039.93,836298,250.07
Passat,2016,280.0,6.0,1,4.0,28,20,873,36835,4,0,2,2,2,34204.86,901797,2630.14
Reno,2007,127.0,4.0,1,4.0,28,20,481,13599,23,1,1,0,7,12000.61,869585,1598.39
RX 400h,2008,268.0,6.0,3,4.0,24,26,454,43480,36,0,0,2,11,36157.34,480857,7322.66
Silverado 1500,2016,285.0,6.0,0,2.0,24,18,1385,29120,5,3,0,1,3,26589.46,888358,2530.54
Silverado 1500,2017,285.0,6.0,2,2.0,22,17,1385,31525,5,3,0,1,3,29188.31,803230,2336.69
S2000,2007,237.0,4.0,0,2.0,24,18,2202,34250,3,0,1,0,0,30315.64,721889,3934.36
S2000,2009,237.0,4.0,0,2.0,25,18,2202,36995,3,0,1,0,0,33608.25,697894,3386.75
Magnum,2008,250.0,6.0,3,4.0,22,15,1851,29855,7,1,0,1,12,27198.89,841140,2656.11
Malibu Limited,2016,197.0,4.0,1,4.0,34,24,1385,23835,5,1,0,2,2,21839.75,726678,1995.25
F-250,1999,220.0,8.0,2,2.0,16,12,5657,3192,8,1,1,1,3,2861.72,908768,330.28
F-250,1999,220.0,8.0,2,4.0,16,12,5657,3572,8,1,1,1,4,3311.09,911422,260.91
Ghibli,2017,404.0,6.0,0,4.0,24,16,238,77200,42,0,0,2,2,63123.03,57821,14076.97
Ghost,2012,563.0,12.0,0,4.0,20,13,86,290000,43,0,0,1,2,212067.94,588,77932.06
GTI,2013,200.0,4.0,1,2.0,33,24,873,25300,4,2,2,0,5,22496.17,873267,2803.83
Metris,2016,208.0,4.0,0,3.0,24,21,617,28950,18,2,0,1,10,26713.8,719698,2236.2
Murano CrossCabriolet,2013,265.0,6.0,3,2.0,22,17,2009,44540,0,2,0,2,15,38761.52,451707,5778.48
E-Series Van,2012,225.0,8.0,0,3.0,17,13,5657,27840,8,3,0,1,14,25118.08,915607,2721.92
Expedition,2017,365.0,6.0,2,4.0,19,15,5657,61061,8,1,0,1,11,51892.2,67699,9168.8
Juke,2015,188.0,4.0,1,4.0,32,28,2009,25240,0,2,0,0,7,22265.05,857377,2974.95
Justy,1993,73.0,3.0,1,2.0,32,28,640,2000,17,1,0,0,5,1821.02,723668,178.98
Frontier,2017,261.0,6.0,2,4.0,21,15,2009,29170,0,1,0,0,9,26144.03,726749,3025.97
Fusion,2015,175.0,4.0,1,4.0,34,22,5657,24035,8,1,0,2,2,21226.83,873581,2808.17
G8,2009,256.0,6.0,0,4.0,25,17,210,28250,29,1,0,1,2,25142.94,844112,3107.06
GTI,2013,200.0,4.0,1,4.0,31,21,873,30995,4,2,1,0,7,28666.01,762230,2328.99
Focus,2017,123.0,3.0,1,4.0,42,30,5657,18175,8,1,1,0,2,16635.55,722002,1539.45
IS 250,2013,204.0,6.0,3,4.0,27,21,454,37525,36,0,0,2,2,33133.76,880877,4391.24
Passat,2016,170.0,4.0,1,4.0,38,25,873,23975,4,1,0,2,2,22249.77,890313,1725.23
Passport,2000,205.0,6.0,2,4.0,18,15,2202,2668,3,1,1,2,11,2392.22,723349,275.78
Range Rover Evoque,2017,240.0,4.0,3,4.0,29,21,258,62500,16,2,0,0,11,50671.92,25069,11828.08
RX 350,2015,270.0,6.0,3,4.0,26,18,454,48710,36,1,0,2,11,41615.5,490029,7094.5
Sierra 1500,2017,355.0,8.0,0,4.0,23,16,549,44840,14,1,0,1,9,38081.21,437130,6758.79
Silverado 1500,2016,285.0,6.0,2,2.0,22,17,1385,36680,5,3,0,1,3,32461.6,789224,4218.4
S2000,2008,237.0,4.0,0,2.0,25,18,2202,34300,3,0,1,0,0,30303.69,743340,3996.31
Sentra,2016,130.0,4.0,1,4.0,40,30,2009,18160,0,1,0,2,2,16471.64,820317,1688.36
Mazdaspeed MX-5 Miata,2005,178.0,4.0,0,2.0,24,18,586,25780,2,0,1,0,0,23539.52,747442,2240.48
GL-Class,2014,550.0,8.0,3,4.0,17,13,617,118160,18,0,0,1,11,89186.64,527,28973.36
Impala,2017,,6.0,1,4.0,25,17,1385,37675,5,9,0,1,2,34006.29,900075,3668.71
Safari,2005,190.0,6.0,0,3.0,20,14,549,24430,14,1,0,1,8,21836.13,732144,2593.87
Santa Fe Sport,2016,190.0,4.0,1,4.0,27,20,1439,24950,19,1,0,2,11,22825.83,698634,2124.17
Prelude,2001,200.0,4.0,1,2.0,25,20,2202,23600,3,0,1,0,1,21037.05,791277,2562.95
Previa,1996,161.0,4.0,0,3.0,20,16,2031,2064,13,1,0,0,8,1901.49,733929,162.51
RAM 250,1992,230.0,8.0,2,2.0,15,12,1851,2000,7,1,1,1,3,1777.19,791517,222.81
RAM 250,1992,230.0,8.0,2,2.0,15,12,1851,2000,7,1,1,1,4,1788.37,827806,211.63
Ram 50 Pickup,1991,116.0,4.0,0,2.0,22,17,1851,2000,7,1,1,0,3,1768.94,780468,231.06
Silverado 1500,2015,355.0,8.0,0,4.0,23,16,1385,41970,5,1,0,1,9,35665.91,491694,6304.09
Silverado 1500,2015,285.0,6.0,2,4.0,22,17,1385,40320,5,3,0,1,9,34674.42,462275,5645.58
Pickup,1993,150.0,6.0,2,2.0,17,14,2031,2550,13,1,1,0,4,2247.84,883495,302.16
Pickup,1993,150.0,6.0,2,2.0,17,14,2031,2221,13,1,1,0,4,2046.96,834258,174.04
Rondo,2008,182.0,6.0,1,4.0,26,18,1720,20195,27,1,0,0,12,18030.3,909322,2164.7
Rondo,2009,192.0,6.0,1,4.0,26,18,1720,22295,27,1,0,0,12,19822.39,894470,2472.61
Silver Seraph,2002,322.0,12.0,0,4.0,15,11,86,229990,43,0,0,1,2,170493.95,641,59496.05
Impreza,2017,152.0,4.0,3,4.0,35,27,640,22495,17,1,1,0,7,20205.06,771425,2289.94
iM,2016,137.0,4.0,1,4.0,36,27,105,18460,31,1,1,0,7,16383.14,754557,2076.86
Reventon,2008,650.0,12.0,3,2.0,14,9,1158,1500000,25,0,2,0,1,1110546.37,669,389453.63
Ridgeline,2017,280.0,6.0,3,4.0,25,18,2202,33315,3,1,0,1,9,30591.04,727572,2723.96
Sierra 1500,2017,285.0,6.0,2,2.0,22,17,549,38860,14,3,0,1,3,35328.07,887610,3531.93
Sierra 1500,2017,355.0,8.0,2,4.0,22,16,549,47990,14,1,0,1,9,42096.15,500247,5893.85
Grand Prix,2008,200.0,6.0,1,4.0,28,18,210,22210,29,1,0,1,2,20305.15,884235,1904.85
Grand Vitara,2011,166.0,4.0,0,4.0,25,19,481,23449,23,1,0,0,11,21215.25,786770,2233.75
Neon,2000,132.0,4.0,1,4.0,31,24,535,2044,33,1,1,0,2,1868.92,779568,175.08
Panamera,2016,310.0,6.0,0,4.0,28,18,1715,80000,12,0,2,1,2,67991.99,48391,12008.01
Passat,2016,170.0,4.0,1,4.0,38,25,873,34270,4,1,0,2,2,30443.65,760167,3826.35
Range Rover,2014,510.0,8.0,2,4.0,19,13,258,142100,16,0,0,1,11,114312.92,404,27787.08
Range Rover,2015,340.0,6.0,2,4.0,23,17,258,89995,16,7,0,1,11,69814.14,13848,20180.86
Lancer,2017,168.0,4.0,3,4.0,30,23,436,20295,11,1,0,0,2,17919.5,694374,2375.5
Lancer,2017,148.0,4.0,1,4.0,33,24,436,17795,11,1,1,0,2,16287.18,849856,1507.82
Esteem,2001,122.0,4.0,1,4.0,30,26,481,14699,23,1,0,0,12,13412.93,826263,1286.07
Esteem,2001,122.0,4.0,1,4.0,32,24,481,13999,23,1,1,0,2,12343.02,898624,1655.98
Forte,2017,147.0,4.0,1,4.0,38,29,1720,19200,27,1,0,0,2,17782.56,707686,1417.44
Freelander,2003,174.0,6.0,3,4.0,19,15,258,24975,16,1,0,0,11,23063.19,820403,1911.81
Lancer,2016,148.0,4.0,1,4.0,35,27,436,18595,11,1,0,0,2,16669.73,864388,1925.27
Montana,2005,200.0,6.0,1,4.0,23,16,210,27890,29,1,0,2,8,24646.55,751415,3243.45
Monte Carlo,2006,242.0,6.0,1,2.0,26,18,1385,24930,5,1,0,2,1,22219.05,890371,2710.95
Golf GTI,2016,210.0,4.0,1,2.0,33,25,873,26095,4,2,2,0,5,24238.65,849529,1856.35
Golf,2016,170.0,4.0,1,4.0,36,25,873,22625,4,1,0,0,7,20375.65,710119,2249.35
Integra,1999,140.0,4.0,1,4.0,29,22,204,2827,28,1,1,0,2,2542.88,913625,284.12
J30,1996,210.0,6.0,0,4.0,22,16,190,2000,35,1,0,2,2,1761.34,703060,238.66
LS,2005,232.0,6.0,0,4.0,24,17,61,36360,30,0,0,2,2,32835.17,804154,3524.83
LTD Crown Victoria,1991,150.0,8.0,0,4.0,22,15,5657,2000,8,1,0,1,2,1836.93,833867,163.07
Malibu Limited,2016,197.0,4.0,1,4.0,34,24,1385,22565,5,1,0,2,2,20878.41,844830,1686.59
Malibu Maxx,2007,217.0,6.0,1,4.0,28,18,1385,20575,5,1,0,2,7,18527.16,834007,2047.84
Pickup,1994,150.0,6.0,2,2.0,17,14,2031,2699,13,1,1,0,4,2459.25,752793,239.75
Pilot,2015,250.0,6.0,1,4.0,25,18,2202,32120,3,1,0,2,11,28890.31,907424,3229.69
RAV4,2017,176.0,4.0,3,4.0,28,22,2031,33230,13,1,0,2,11,30001.29,799239,3228.71
RDX,2016,279.0,6.0,3,4.0,28,19,204,36870,28,2,0,2,11,32527.53,787598,4342.47
Passport,2002,205.0,6.0,2,4.0,19,15,2202,27600,3,1,0,2,11,25113.93,786400,2486.07
QX60,2016,250.0,4.0,3,4.0,28,25,190,53450,35,2,0,1,11,46201.24,447325,7248.76
Savana,2014,310.0,8.0,0,3.0,17,13,549,30970,14,3,0,2,6,28272.55,868887,2697.45
Pilot,2016,280.0,6.0,3,4.0,26,18,2202,31945,3,1,0,2,11,29178.28,772427,2766.72
Intrepid,2002,234.0,6.0,1,4.0,24,16,1851,22970,7,1,0,1,2,20893.94,694453,2076.06
Jimmy,1999,190.0,6.0,0,4.0,19,14,549,2554,14,1,0,2,11,2296.51,837845,257.49
Jimmy,1999,190.0,6.0,0,4.0,19,14,549,2377,14,1,0,2,11,2131.06,913506,245.94
RDX,2017,279.0,6.0,3,4.0,27,19,204,40770,28,2,0,2,11,34198.13,500506,6571.87
Regal,2016,259.0,4.0,1,4.0,30,21,155,28990,34,2,0,2,2,25552.5,913946,3437.5
S6,2015,420.0,8.0,3,4.0,27,17,3105,75500,9,0,2,2,2,60530.56,33331,14969.44
S70,1999,162.0,5.0,1,4.0,26,19,870,2172,38,1,1,2,2,1925.5,875039,246.5
Silverado 1500 Classic,2007,295.0,8.0,2,4.0,18,13,1385,33135,5,1,0,1,4,29508.52,810101,3626.48
IS 300,2005,215.0,6.0,0,4.0,23,16,454,31105,36,0,0,0,12,28684.7,714557,2420.3
IS 300,2005,215.0,6.0,0,4.0,23,16,454,29735,36,0,1,0,2,27391.04,907673,2343.96
Focus ST,2017,252.0,4.0,1,4.0,31,22,5657,24775,8,2,1,0,7,22907.28,812098,1867.72
FX,2013,325.0,6.0,3,4.0,22,16,190,46400,35,0,0,2,11,40292.15,518702,6107.85
Camaro,2016,275.0,4.0,0,2.0,30,21,1385,32700,5,2,1,2,0,28834.18,856197,3865.82
C/K 1500 Series,1998,200.0,6.0,2,2.0,19,14,1385,3427,5,1,1,1,4,3179.83,848541,247.17
5 Series,2016,443.0,8.0,0,4.0,25,17,3916,66300,20,0,0,1,2,52393.8,41058,13906.2
500e,2015,,0.0,1,2.0,108,122,819,31800,32,6,3,0,5,28645.77,735942,3154.23
ALPINA B7,2017,600.0,8.0,3,4.0,24,16,3916,137000,20,0,0,1,2,96509.45,269,40490.55
ATS Coupe,2016,335.0,6.0,3,2.0,28,19,1624,47750,10,1,0,0,1,41159.7,430180,6590.3
Fox,1991,81.0,4.0,1,2.0,29,22,873,2000,4,1,1,0,1,1765.98,808266,234.02
FR-S,2014,200.0,4.0,0,2.0,30,22,105,24700,31,0,1,0,1,21814.96,740702,2885.04
200,2017,184.0,4.0,1,4.0,36,23,1013,26685,6,3,0,2,2,23730.11,819427,2954.89
Acadia,2015,281.0,6.0,1,4.0,24,17,549,42095,14,1,0,2,11,35750.51,504492,6344.49
Expedition,2016,365.0,6.0,0,4.0,21,15,5657,57795,8,1,0,1,11,48501.62,507702,9293.38
Expedition,2016,365.0,6.0,0,4.0,22,16,5657,41135,8,1,0,1,11,35384.53,472471,5750.47
Beetle Convertible,2014,140.0,4.0,1,2.0,41,28,873,29995,4,4,2,0,0,27538.01,711603,2456.99
Beetle Convertible,2014,210.0,4.0,1,2.0,29,23,873,31795,4,2,2,0,0,28766.31,773215,3028.69
FX45,2007,320.0,8.0,3,4.0,17,13,190,49850,35,0,0,2,11,42045.42,492957,7804.58
FX50,2010,390.0,8.0,3,4.0,20,14,190,59000,35,0,0,2,11,51797.65,435863,7202.35
GTI,2012,200.0,4.0,1,4.0,31,21,873,30595,4,2,1,0,7,27044.27,820159,3550.73
GTI,2013,200.0,4.0,1,4.0,31,21,873,24795,4,2,1,0,7,22993.52,773285,1801.48
Le Baron,1993,100.0,4.0,1,2.0,26,21,1013,2000,6,1,4,0,1,1795.2,766915,204.8
LR2,2014,240.0,4.0,3,4.0,24,17,258,41700,16,2,0,0,11,34861.59,511025,6838.41
LR4,2016,340.0,6.0,2,4.0,19,15,258,50400,16,0,0,2,11,42025.45,478268,8374.55
Explorer,2015,290.0,6.0,1,4.0,24,17,5657,33000,8,3,0,2,11,30332.81,830323,2667.19
Fiesta,2015,120.0,4.0,1,4.0,36,28,5657,18805,8,1,1,0,7,17269.38,875719,1535.62
2 Series,2016,320.0,6.0,0,2.0,31,20,3916,48750,20,0,0,0,0,41154.68,449244,7595.32
2 Series,2016,240.0,4.0,3,2.0,35,23,3916,34850,20,0,0,0,1,31763.33,869625,3086.67
Elise,2011,189.0,4.0,0,2.0,27,21,613,51845,15,0,1,0,0,43656.45,484476,8188.55
3-Sep,2009,210.0,4.0,1,4.0,27,19,376,38305,24,2,0,0,12,35001.69,823973,3303.31
DTS,2011,275.0,8.0,1,4.0,23,15,1624,46680,10,2,0,1,2,39210.76,506731,7469.24
Element,2009,166.0,4.0,1,4.0,25,20,2202,20275,3,1,0,0,11,18423.4,885657,1851.6
Aveo,2009,107.0,4.0,1,4.0,34,27,1385,15365,5,1,1,0,2,13879.17,852161,1485.83
Borrego,2009,276.0,6.0,2,4.0,21,16,1720,28295,27,1,0,2,11,26032.32,704286,2262.68
370Z,2016,332.0,6.0,0,2.0,24,17,2009,48100,0,0,1,0,0,41045.58,446961,7054.42
3,2016,184.0,4.0,1,4.0,39,28,586,24795,2,1,0,0,2,22108.06,772833,2686.94
Coupe,2004,390.0,8.0,0,2.0,16,10,238,85174,42,0,2,0,1,70077.57,19793,15096.43
Coupe,2005,385.0,8.0,0,2.0,16,11,238,86877,42,0,2,0,1,68820.01,18504,18056.99
Cube,2012,122.0,4.0,1,4.0,31,27,2009,17580,0,1,0,0,12,16321.13,776157,1258.87
Cutlass Calais,1990,180.0,4.0,1,4.0,29,19,26,2000,26,1,1,0,2,1833.61,742533,166.39
Caliber,2012,158.0,4.0,1,4.0,32,24,1851,17380,7,1,1,0,12,15690.68,909483,1689.32
Camaro,2015,426.0,8.0,0,2.0,24,16,1385,39505,5,2,1,2,0,36297.13,820608,3207.87
Canyon,2015,305.0,6.0,0,4.0,26,18,549,33420,14,1,0,0,9,30912.88,816248,2507.12
Black Diamond Avalanche,2013,320.0,8.0,2,4.0,21,15,1385,47885,5,3,0,1,9,40547.86,477958,7337.14
Flex,2017,365.0,6.0,3,4.0,21,15,5657,43030,8,2,0,1,12,36048.85,494515,6981.15
Freestyle,2005,203.0,6.0,1,4.0,25,18,5657,28440,8,1,0,1,12,25663.16,887944,2776.84
Frontier,2015,261.0,6.0,0,4.0,22,16,2009,25860,0,1,1,0,9,24012.86,783089,1847.14
Frontier,2015,261.0,6.0,0,4.0,22,16,2009,23750,0,1,0,0,9,21472.53,819861,2277.47
370Z,2017,332.0,6.0,0,2.0,26,19,2009,38370,0,0,0,0,1,34911.32,728586,3458.68
370Z,2017,350.0,6.0,0,2.0,26,19,2009,43290,0,0,0,0,1,37565.51,425653,5724.49
3,2015,155.0,4.0,1,4.0,40,29,586,18945,2,1,1,0,7,17137.22,846670,1807.78
500X,2016,160.0,4.0,1,4.0,34,25,819,20000,32,2,1,0,11,17991.73,897430,2008.27
F-150,2015,282.0,6.0,2,4.0,23,17,5657,33515,8,3,0,1,4,30120.57,907841,3394.43
Insight,2012,98.0,4.0,1,4.0,44,41,2202,18500,3,1,0,0,7,16406.03,695354,2093.97
Integra,2001,140.0,4.0,1,2.0,28,22,204,21050,28,1,1,0,5,19459.68,772296,1590.32
Jetta GLI,2013,210.0,4.0,1,4.0,33,22,873,28425,4,2,1,2,2,25572.47,841527,2852.53
C36 AMG,1996,276.0,6.0,0,4.0,20,16,617,3996,18,1,0,0,2,3631.55,806785,364.45
Impreza WRX,2014,265.0,4.0,3,4.0,25,19,640,29495,17,0,1,0,2,27202.88,842974,2292.12
MKC,2016,240.0,4.0,1,4.0,29,20,61,40460,30,1,0,0,11,35330.35,423220,5129.65
Park Avenue,2003,240.0,6.0,1,4.0,25,16,155,39725,34,0,0,1,2,35998.95,794812,3726.05
GTI,2013,200.0,4.0,1,2.0,31,21,873,30395,4,2,1,0,5,27236.16,764230,3158.84
Jetta Hybrid,2013,170.0,4.0,1,4.0,48,42,873,24995,4,0,2,2,2,22056.29,893185,2938.71
Jetta SportWagen,2013,140.0,4.0,1,4.0,39,29,873,26895,4,4,2,0,12,24002.3,838182,2892.7
Mark LT,2006,300.0,8.0,2,4.0,16,12,61,42235,30,1,0,1,9,36878.82,493287,5356.18
New Beetle,2008,150.0,5.0,1,2.0,28,20,873,25740,4,1,0,0,0,23227.54,905194,2512.46
Ninety-Eight,1994,170.0,6.0,1,4.0,25,17,26,2000,26,1,0,1,2,1779.51,859517,220.49
Highlander,2015,270.0,6.0,1,4.0,25,19,2031,40190,13,1,0,2,11,34662.21,467113,5527.79
Impala Limited,2016,300.0,6.0,1,4.0,30,18,1385,30535,5,3,0,1,2,27456.23,874846,3078.77
S-10,2003,120.0,4.0,0,2.0,25,19,1385,14770,5,3,1,0,3,13699.63,876030,1070.37
Outlander,2016,166.0,4.0,1,4.0,31,25,436,23995,11,1,0,2,11,21790.05,838988,2204.95
Probe,1997,164.0,6.0,1,2.0,24,18,5657,2000,8,1,1,0,5,1773.68,781924,226.32
Q3,2016,200.0,4.0,1,4.0,29,20,3105,33700,9,2,0,0,11,30607.15,832001,3092.85
Prius v,2016,134.0,4.0,1,4.0,40,44,2031,29695,13,1,0,2,12,27290.37,787713,2404.63
Q7,2015,280.0,6.0,3,4.0,22,16,3105,54800,9,0,0,1,11,47943.78,498949,6856.22
